x,y
3.9797477133834462,-0.5073406439576473
22.23349771338345,-5.8760906439576495
23.30724771338344,-5.8760906439576495
24.380997713383444,-4.802340643957649
24.380997713383444,-2.654840643957648
20.73024771338344,7.438409356042349
20.085997713383442,8.082659356042349
18.797497713383443,8.512159356042353
3.1207477133834445,12.162909356042348
-1.3890022866165523,17.96115935604235
-38.755502286616554,25.26265935604235
-41.547252286616555,25.26265935604235
-43.48000228661655,24.188909356042352
-44.55375228661655,22.47090935604235
-47.130752286616556,16.243159356042355
-47.130752286616556,4.431909356042354
-45.84225228661656,3.143409356042355
-44.76850228661655,2.9286593560423526
-43.48000228661655,2.9286593560423526
-42.40625228661655,3.572909356042352
-41.76200228661655,4.646659356042349
-41.547252286616555,5.720409356042353
-41.547252286616555,11.089159356042352
-40.68825228661655,15.81365935604235
-39.82925228661655,16.672659356042352
-38.755502286616554,17.531659356042354
-35.963752286616554,19.24965935604235
-34.675252286616555,19.679159356042348
-32.527752286616554,19.679159356042348
-30.380252286616553,19.24965935604235
-29.091752286616554,19.03490935604235
-26.944252286616553,18.60540935604235
-25.655752286616554,18.39065935604235
-23.29350228661655,17.96115935604235
-21.14600228661655,17.531659356042354
-19.85750228661655,17.316909356042352
-17.495252286616555,16.887409356042355
-15.347752286616554,16.45790935604235
-12.985502286616551,16.028409356042353
-10.83800228661655,15.598909356042348
-9.334752286616556,14.525159356042352
-9.334752286616556,12.37765935604235
-10.19375228661655,11.089159356042352
-11.48225228661655,10.659659356042354
-32.31300228661655,11.518659356042349
-33.81625228661655,10.659659356042354
-34.46050228661655,8.726909356042349
-34.46050228661655,7.867909356042354
-33.60150228661655,6.14990935604235
-32.527752286616554,5.505659356042351
-31.024502286616553,5.290909356042349
-25.870502286616553,6.579409356042355
1.8322477133834454,-0.07784064395765
